Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8218594748048261,0.6859756097560976,0.6032171581769437,0.6419400855920114
Random Forest,0.794180269694819,0.6590038314176245,0.46112600536193027,0.5425867507886435
XGBoost,0.7927608232789212,0.6327868852459017,0.517426273458445,0.5693215339233039
